day;path;comments
-1;raw/VolProbDiscrimExplore-15.04.22.csv;
0;raw/VolProbDiscrimExploreP-15.04.23.csv;
1;raw/VolProbDiscrim-15.04.24.csv;
2;raw/VolProbDiscrim-15.04.25.csv;
3;raw/VolProbDiscrim-15.04.26.csv;
4;raw/VolProbDiscrim-15.04.27.csv;
5;raw/VolProbDiscrim-15.04.28.csv;
6;raw/VolProbDiscrim-15.04.29.csv;
7;raw/VolProbDiscrim-15.05.01.csv;interruption because faulty tube connection
8;raw/VolProbDiscrim-15.05.02.csv;
9;raw/VolProbDiscrim-15.05.03.csv;
10;raw/VolProbDiscrim-15.05.04.csv;
11;raw/VolProbDiscrim-15.05.05.csv;
12;raw/VolProbDiscrim-15.05.06.csv;
13;raw/VolprobDiscrimExploreP-15.05.07.csv;
14;raw/VolProbDiscrim-15.05.08.csv;
15;raw/VolProbDiscrim-15.05.09.csv;
16;raw/VolProbDiscrim-15.05.10.csv;
17;raw/VolProbDiscrim-15.05.11.csv;
18;raw/VolProbDiscrim-15.05.12.csv;
19;raw/VolProbDiscrim-15.05.13.csv;
20;raw/VolProbDiscrim-15.05.14.csv;
21;raw/VolProbDiscrim-15.05.15.csv;
22;raw/VolProbDiscrim-15.05.16.csv;
23;raw/VolProbDiscrim-15.05.17.csv;
24;raw/VolprobDiscrimExploreP-15.05.18.csv;
25;raw/VolProbDiscrim-15.05.19.csv;
26;raw/VolProbDiscrim-15.05.20.csv;
27;raw/VolProbDiscrim-15.05.21.csv;
28;raw/VolProbDiscrim-15.05.22.csv;
29;raw/VolProbDiscrim-15.05.23.csv;
30;raw/VolProbDiscrim-15.05.24.csv;
31;raw/VolProbDiscrim-15.05.25.csv;
32;raw/VolProbDiscrim-15.05.26.csv;
33;raw/VolProbDiscrim-15.05.27.csv;
34;raw/VolProbDiscrim-15.05.28.csv;
35;raw/VolProbDiscrim-15.05.29.csv;
36;raw/VolProbDiscrim-15.05.30.csv;
37;raw/VolProbDiscrim-15.05.31.csv;
38;raw/VolProbDiscrim-15.06.01.csv;
