"cond";"gamma";"choice_2scal";"pred_perf";"obs_perf";"deviance"
"1";"BPV1";0.05;1;1.06283202029886;0.74;0.131647074954153
"2";"BPV1";0.1;1;1.02382460808534;0.74;0.104862376801622
"3";"BPV1";0.15;1;0.986562515169295;0.74;0.0821180751001527
"4";"BPV1";0.2;1;0.950975353306749;0.74;0.0629886279674474
"5";"BPV1";0.25;0.96;0.916992734253711;0.74;0.0470858467189017
"6";"BPV1";0.3;0.95;0.884606995380937;0.74;0.0340797427435774
"7";"BPV1";0.35;0.81;0.85389985123625;0.74;0.02368516421054
"8";"BPV1";0.4;0.82;0.824934979341266;0.74;0.0156087490630027
"9";"BPV1";0.45;0.82;0.797776057217601;0.74;0.00956015736501956
"10";"BPV1";0.5;0.82;0.77248676238687;0.74;0.00525433072133054
"11";"BPV1";0.55;0.75;0.748406514738082;0.74;0.00234319066908816
"12";"BPV1";0.6;0.68;0.725266086569133;0.74;0.000638375130518939
"13";"BPV1";0.65;0.66;0.703716184014971;0.74;1.38100236331234e-05
"14";"BPV1";0.7;0.69;0.684407513210541;0.74;0.000243125644279461
"15";"BPV1";0.75;0.62;0.667990780290791;0.74;0.00102459014639243
"16";"BPV1";0.8;0.61;0.656359523580818;0.74;0.00190449118209314
"17";"BPV1";0.85;0.76;0.649508529377705;0.74;0.00254938860560204
"18";"BPV1";0.9;0.63;0.645240375774373;0.74;0.00299861644533185
"19";"BPV1";0.95;0.64;0.641357640863744;0.74;0.00343892628506563
"20";"BPV1";1;0.57;0.635662902738739;0.74;0.0041392620840049
"21";"BPV1";1.05;0.64;0.629570592785228;0.74;0.00496030140062421
"22";"BPV1";1.1;0.67;0.625303252277814;0.74;0.00557960412027184
"23";"BPV1";1.15;0.67;0.621875624142528;0.74;0.00610341810311955
"24";"BPV1";1.2;0.64;0.618302451305396;0.74;0.00667448946270712
"25";"BPV1";1.25;0.62;0.613598476692448;0.74;0.00746522322986536
"26";"BPV1";1.3;0.58;0.607375639854105;0.74;0.00857927209243653
"27";"BPV1";1.35;0.55;0.600430059207721;0.74;0.00991417310937785
"28";"BPV1";1.4;0.67;0.593552745979732;0.74;0.0113310178884555
"29";"BPV1";1.45;0.52;0.58753471139657;0.74;0.0126484411406529
"30";"BPV1";1.5;0.6;0.583166966684667;0.74;0.0136499576736618
"31";"BPV1";1.55;0.57;0.580039990962742;0.74;0.0143904037682191
"32";"BPV1";1.6;0.56;0.577324862066596;0.74;0.0150491894669798
"33";"BPV1";1.65;0.57;0.575183489298287;0.74;0.0155791613437509
