"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.05;0.05;1;1.04102213663089;0.74;0.090614326741825
"BPV1";0.05;0.1;1;1.02043349699401;0.74;0.0786429462362886
"BPV1";0.05;0.15;0.999;1.00032424635633;0.74;0.0677687132409915
"BPV1";0.05;0.2;0.996;0.980586305379117;0.74;0.0578817703359739
"BPV1";0.05;0.25;0.991;0.961111594723632;0.74;0.0488903373212276
"BPV1";0.05;0.3;0.978;0.94185773205389;0.74;0.0407465439899402
"BPV1";0.05;0.35;0.944;0.922935819941035;0.74;0.0334655142174986
"BPV1";0.05;0.4;0.933;0.904468006407016;0.74;0.0270497251314984
"BPV1";0.05;0.45;0.902;0.886576439473787;0.74;0.0214846526088129
"BPV1";0.05;0.5;0.888;0.869383267163299;0.74;0.0167400298218497
"BPV1";0.05;0.55;0.834;0.851949004881838;0.74;0.0125325796940338
"BPV1";0.05;0.6;0.809;0.833848702836994;0.74;0.00880757902418636
"BPV1";0.05;0.65;0.813;0.815976311252674;0.74;0.0057723998715632
"BPV1";0.05;0.7;0.783;0.799225780352786;0.74;0.00350769305839644
"BPV1";0.05;0.75;0.772;0.784491060361237;0.74;0.00197945445206723
"BPV1";0.05;0.8;0.762;0.77220703686932;0.74;0.00103729322390173
"BPV1";0.05;0.85;0.767;0.761869642268437;0.74;0.000478281252949397
"BPV1";0.05;0.9;0.765;0.752964396982659;0.74;0.000168075589123991
"BPV1";0.05;0.95;0.75;0.744976821436059;0.74;2.47687516064124e-05
"BPV1";0.05;1;0.744;0.737392436052706;0.74;6.79938973922805e-06
"BPV1";0.05;1.05;0.744;0.731053852418514;0.74;8.00335565497206e-05
"BPV1";0.05;1.1;0.709;0.726588267284675;0.74;0.000179874574427326
"BPV1";0.05;1.15;0.706;0.723158078823175;0.74;0.000283650308926373
"BPV1";0.05;1.2;0.735;0.719925685206005;0.74;0.000402978114448412
"BPV1";0.05;1.25;0.72;0.716053484605151;0.74;0.000573435599555732
"BPV1";0.05;1.3;0.712;0.711742610108404;0.74;0.000798480083485646
"BPV1";0.05;1.35;0.729;0.707731397246775;0.74;0.00104126272364546
"BPV1";0.05;1.4;0.675;0.703988047857081;0.74;0.0012968606971439
"BPV1";0.05;1.45;0.696;0.700480763776141;0.74;0.00156177003171715
"BPV1";0.05;1.5;0.703;0.697177746840775;0.74;0.00183374536563275
"BPV1";0.05;1.55;0.712;0.694108826657129;0.74;0.00210599979078544
"BPV1";0.05;1.6;0.707;0.691329666858818;0.74;0.0023688013280736
"BPV1";0.05;1.65;0.69;0.688847220323865;0.74;0.00261660686859524
"BPV1";0.05;1.7;0.689;0.686668439930289;0.74;0.00284425529946915
"BPV1";0.05;1.75;0.669;0.684800278556114;0.74;0.00304700924748259
"BPV1";0.05;1.8;0.678;0.683238140912296;0.74;0.00322190864709234
"BPV1";0.05;1.85;0.675;0.681971551543345;0.74;0.00336730083028669
"BPV1";0.05;1.9;0.672;0.680998643077609;0.74;0.00348116011868332
"BPV1";0.05;1.95;0.655;0.68031754814344;0.74;0.00356199505961064
"BPV1";0.05;2;0.716;0.679926399369185;0.74;0.00360883749275069
"BPV1";0.1;0.05;1;1.0370947124421;0.74;0.0882652681610516
"BPV1";0.1;0.1;1;1.01694470150384;0.74;0.0766983676910521
"BPV1";0.1;0.15;1;0.997241516376085;0.74;0.0661731977474677
"BPV1";0.1;0.2;0.996;0.977902431323364;0.74;0.0565975668295681
"BPV1";0.1;0.25;0.994;0.958844720610219;0.74;0.0478930117389647
"BPV1";0.1;0.3;0.968;0.940027385608021;0.74;0.0400109549931799
"BPV1";0.1;0.35;0.934;0.921529799139345;0.74;0.0329530679755711
"BPV1";0.1;0.4;0.926;0.903449792645533;0.74;0.0267158347158676
"BPV1";0.1;0.45;0.869;0.885885197567924;0.74;0.0212824908694322
"BPV1";0.1;0.5;0.868;0.86893384534786;0.74;0.0166239364761859
"BPV1";0.1;0.55;0.854;0.851837085270461;0.74;0.0125075336417923
"BPV1";0.1;0.6;0.833;0.834258859427282;0.74;0.00888473258053214
"BPV1";0.1;0.65;0.802;0.816930888469319;0.74;0.00591836160067877
"BPV1";0.1;0.7;0.807;0.800584893047565;0.74;0.0036705292655849
"BPV1";0.1;0.75;0.774;0.785952593813016;0.74;0.00211164087814399
"BPV1";0.1;0.8;0.776;0.773053965361056;0.74;0.00109256462608987
"BPV1";0.1;0.85;0.755;0.761386011981328;0.74;0.000457361508465498
"BPV1";0.1;0.9;0.783;0.75089599886621;0.74;0.000118722791292458
"BPV1";0.1;0.95;0.735;0.741531191208082;0.74;2.34454651570858e-06
"BPV1";0.1;1;0.722;0.733238854199322;0.74;4.57130925380257e-05
"BPV1";0.1;1.05;0.715;0.726522836019613;0.74;0.00018163394895425
"BPV1";0.1;1.1;0.724;0.721543690561513;0.74;0.000340635358089175
"BPV1";0.1;1.15;0.722;0.717733741586719;0.74;0.000495786263727027
"BPV1";0.1;1.2;0.693;0.714525312856922;0.74;0.000648959685037697
"BPV1";0.1;1.25;0.732;0.711350728133818;0.74;0.000820780778462391
"BPV1";0.1;1.3;0.706;0.708876053743549;0.74;0.000968700030574456
"BPV1";0.1;1.35;0.698;0.707670752770225;0.74;0.00104518022644389
"BPV1";0.1;1.4;0.714;0.707022244112496;0.74;0.00108753238337579
"BPV1";0.1;1.45;0.693;0.70621794666901;0.74;0.00114122712725783
"BPV1";0.1;1.5;0.713;0.704545279338416;0.74;0.00125703721719094
"BPV1";0.1;1.55;0.724;0.702365633159674;0.74;0.00141634556747225
"BPV1";0.1;1.6;0.717;0.700426898246284;0.74;0.00156603038240995
"BPV1";0.1;1.65;0.71;0.698596242108709;0.74;0.00171427116752064
"BPV1";0.1;1.7;0.703;0.696740832257409;0.74;0.00187135559378162
"BPV1";0.1;1.75;0.704;0.694727836202846;0.74;0.00204956881487636
"BPV1";0.1;1.8;0.702;0.69253306161978;0.74;0.00225311023919157
"BPV1";0.1;1.85;0.687;0.690238692328442;0.74;0.00247618774118344
"BPV1";0.1;1.9;0.662;0.687871460057496;0.74;0.00271738467653725
"BPV1";0.1;1.95;0.694;0.685458096535606;0.74;0.0029748192335193
"BPV1";0.1;2;0.675;0.683025333491436;0.74;0.00324611262376208
"BPV1";0.15;0.05;1;1.04204139550624;0.74;0.091229004599359
"BPV1";0.15;0.1;1;1.01933083125042;0.74;0.078025713287053
"BPV1";0.15;0.15;1;0.997362638905615;0.74;0.066235527904462
"BPV1";0.15;0.2;0.999;0.976067865523444;0.74;0.0557280371327951
"BPV1";0.15;0.25;0.986;0.955377558155541;0.74;0.0463874925570434
