"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0;0.05;1;1.03586658272866;0.74;0.0875370347755322
"BPV1";0;0.1;1;1.01627227082264;0.74;0.0763263676254963
"BPV1";0;0.15;1;0.996942817837418;0.74;0.0660196116382328
"BPV1";0;0.2;0.998;0.977796866993614;0.74;0.0565473499519788
"BPV1";0;0.25;0.985;0.958753061511837;0.74;0.0478529019208017
"BPV1";0;0.3;0.975;0.939768181468832;0.74;0.0399073263273641
"BPV1";0;0.35;0.951;0.920918560211657;0.74;0.0327315254290589
"BPV1";0;0.4;0.883;0.902302170866399;0.74;0.0263419946679457
"BPV1";0;0.45;0.886;0.884016986559143;0.74;0.0207408924175765
"BPV1";0;0.5;0.852;0.866160980415977;0.74;0.0159165929795205
"BPV1";0;0.55;0.86;0.848019428667456;0.74;0.0116681969696437
"BPV1";0;0.6;0.822;0.829273281868534;0.74;0.00796971885557874
"BPV1";0;0.65;0.817;0.810614024631889;0.74;0.004986340474713
"BPV1";0;0.7;0.786;0.792733141570198;0.74;0.00278078421986258
"BPV1";0;0.75;0.791;0.776322117296141;0.74;0.0013192962048746
"BPV1";0;0.8;0.764;0.761397936098668;0.74;0.000457871669282666
"BPV1";0;0.85;0.728;0.747474403209106;0.74;5.5866703332287e-05
"BPV1";0;0.9;0.736;0.734488234653694;0.74;3.03795572327402e-05
"BPV1";0;0.95;0.696;0.722376146458673;0.74;0.00031060021364616
"BPV1";0;1;0.729;0.711074854650281;0.74;0.000836664033502378
"BPV1";0;1.05;0.719;0.700987649335871;0.74;0.00152196350434098
"BPV1";0;1.1;0.677;0.692270076705923;0.74;0.00227814557765843
"BPV1";0;1.15;0.69;0.684487236911373;0.74;0.003081666865734
"BPV1";0;1.2;0.677;0.677204230103154;0.74;0.0039433087169376
"BPV1";0;1.25;0.669;0.669986156432201;0.74;0.00490193829113627
"BPV1";0;1.3;0.659;0.663084901317443;0.74;0.00591593240534743
"BPV1";0;1.35;0.659;0.656899421911577;0.74;0.00690570607863003
"BPV1";0;1.4;0.643;0.651215425966184;0.74;0.00788270058636616
"BPV1";0;1.45;0.641;0.645818621232845;0.74;0.00887013210648232
"BPV1";0;1.5;0.654;0.640494715463141;0.74;0.00990130165076119
"BPV1";0;1.55;0.65;0.635351557858282;0.74;0.0109512964426885
"BPV1";0;1.6;0.656;0.630615791492975;0.74;0.0119649050707084
"BPV1";0;1.65;0.595;0.626251314929048;0.74;0.0129387633553706
"BPV1";0;1.7;0.629;0.622222026728332;0.74;0.0138716509879817
"BPV1";0;1.75;0.63;0.618491825452657;0.74;0.0147642364818276
"BPV1";0;1.8;0.603;0.615054253282696;0.74;0.0156114396227447
"BPV1";0;1.85;0.601;0.611931998434359;0.74;0.0164014130250169
"BPV1";0;1.9;0.613;0.609132678522328;0.74;0.0171262558307403
"BPV1";0;1.95;0.611;0.606663911161284;0.74;0.0177785125868061
"BPV1";0;2;0.604;0.604533313965907;0.74;0.0183512230250595
"BPV1";0.05;0.05;0.945;0.982584878289147;0.74;0.05884742317456
"BPV1";0.05;0.1;0.958;0.965222012185915;0.74;0.0507249547730724
"BPV1";0.05;0.15;0.948;0.94807482340792;0.74;0.0432951321362373
"BPV1";0.05;0.2;0.947;0.93107998567458;0.74;0.0365115609253976
"BPV1";0.05;0.25;0.941;0.914174172705309;0.74;0.0303366424375787
"BPV1";0.05;0.3;0.925;0.897335510288601;0.74;0.0247544627977745
"BPV1";0.05;0.35;0.903;0.880629996935413;0.74;0.0197767960380543
