"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.05;0.05;0.738;0.655264219255598;0.74;0.00718015253836332
"BPV1";0.05;0.1;0.637;0.633554845173489;0.74;0.0113305709860399
"BPV1";0.05;0.15;0.593;0.613433167326775;0.74;0.0160191631329321
"BPV1";0.05;0.2;0.551;0.595024119371717;0.74;0.0210180059639463
"BPV1";0.05;0.25;0.551;0.578452634964573;0.74;0.0260975511498894
"BPV1";0.05;0.3;0.531;0.5637782574764;0.74;0.031054102538054
"BPV1";0.05;0.35;0.542;0.550881695018712;0.74;0.0357657332789955
"BPV1";0.05;0.4;0.505;0.539619628358461;0.74;0.0401522933392013
"BPV1";0.05;0.45;0.508;0.529848738262599;0.74;0.0441635528098216
"BPV1";0.05;0.5;0.53;0.521425705498077;0.74;0.0477747222170133
"BPV1";0.05;0.55;0.513;0.515495689613373;0.74;0.0504021853821751
"BPV1";0.05;0.6;0.551;0.512557585391949;0.74;0.0517300519627407
"BPV1";0.05;0.65;0.539;0.511498676453235;0.74;0.0522128548626232
"BPV1";0.05;0.7;0.519;0.511206246416663;0.74;0.0523465816787527
"BPV1";0.05;0.75;0.495;0.510567578901662;0.74;0.0526392358510451
"BPV1";0.05;0.8;0.503;0.5097434832973;0.74;0.0530180634840608
"BPV1";0.05;0.85;0.506;0.509544433198721;0.74;0.053109768269699
"BPV1";0.05;0.9;0.48;0.509832208534468;0.74;0.0529772122281208
"BPV1";0.05;0.95;0.526;0.510468589233085;0.74;0.0526846685286504
"BPV1";0.05;1;0.492;0.511315355223115;0.74;0.0522966667567299
"BPV1";0.05;1.05;0.531;0.512947688905427;0.74;0.051552751973387
"BPV1";0.05;1.1;0.503;0.515663749148616;0.74;0.0503267534460553
"BPV1";0.05;1.15;0.535;0.518909780582822;0.74;0.0488808851219359
"BPV1";0.05;1.2;0.549;0.522132027838186;0.74;0.047466453293901
"BPV1";0.05;1.25;0.535;0.524776735544846;0.74;0.0463210535627331
"BPV1";0.05;1.3;0.496;0.527181917318252;0.74;0.0452915363163353
"BPV1";0.05;1.35;0.486;0.529870777776392;0.74;0.0441542900322984
"BPV1";0.05;1.4;0.552;0.532567348053214;0.74;0.0430283050936763
"BPV1";0.05;1.45;0.565;0.534995659282667;0.74;0.0420267797129484
"BPV1";0.05;1.5;0.549;0.536879742598698;0.74;0.0412578389667711
"BPV1";0.05;1.55;0.531;0.53833350372269;0.74;0.0406693757207663
"BPV1";0.05;1.6;0.545;0.539622116910846;0.74;0.0401512960312906
"BPV1";0.05;1.65;0.537;0.540696516099346;0.74;0.0397218786949382
"BPV1";0.05;1.7;0.509;0.54150763522437;0.74;0.0393992188742217
"BPV1";0.05;1.75;0.555;0.542006408222098;0.74;0.0392014623851144
"BPV1";0.05;1.8;0.543;0.542192259099099;0.74;0.039127902360318
"BPV1";0.05;1.85;0.567;0.542103883219739;0.74;0.0391628730367066
"BPV1";0.05;1.9;0.56;0.541751121556897;0.74;0.0393026178039484
"BPV1";0.05;1.95;0.531;0.541143815083448;0.74;0.0395437822795659
"BPV1";0.05;2;0.523;0.540291804772271;0.74;0.0398833632411165
"BPV1";0.1;0.05;0.921;0.784938711054044;0.74;0.00201948775119887
"BPV1";0.1;0.1;0.753;0.746318051249434;0.74;3.99177715904769e-05
"BPV1";0.1;0.15;0.65;0.710493210434638;0.74;0.00087065063045457
"BPV1";0.1;0.2;0.634;0.677696411413939;0.74;0.00388173715070118
"BPV1";0.1;0.25;0.604;0.648159876991621;0.74;0.00843460819419422
"BPV1";0.1;0.3;0.565;0.622016647674194;0.74;0.0139200714260353
"BPV1";0.1;0.35;0.565;0.599057139293307;0.74;0.0198648899841864
"BPV1";0.1;0.4;0.552;0.578999637640951;0.74;0.0259211166797452
"BPV1";0.1;0.45;0.571;0.561562428509118;0.74;0.0318399669195636
"BPV1";0.1;0.5;0.529;0.5464637976898;0.74;0.0374562616046546
"BPV1";0.1;0.55;0.554;0.535608628582317;0.74;0.0417758327100011
"BPV1";0.1;0.6;0.536;0.529855313759935;0.74;0.0441607891549355
"BPV1";0.1;0.65;0.523;0.527352402775563;0.74;0.0452190006053265
"BPV1";0.1;0.7;0.519;0.526248445182112;0.74;0.0456897271870646
"BPV1";0.1;0.75;0.537;0.524691990532493;0.74;0.04635753894086
"BPV1";0.1;0.8;0.524;0.523605482950029;0.74;0.0468265870092904
"BPV1";0.1;0.85;0.53;0.524526141079836;0.74;0.0464289838779468
"BPV1";0.1;0.9;0.529;0.52652467625752;0.74;0.0455717138469567
"BPV1";0.1;0.95;0.52;0.528671799818684;0.74;0.0446596081918742
"BPV1";0.1;1;0.524;0.530038223098933;0.74;0.0440839477594534
"BPV1";0.1;1.05;0.522;0.531411760798456;0.74;0.0435090535332004
"BPV1";0.1;1.1;0.551;0.533793569032611;0.74;0.0425210921723086
"BPV1";0.1;1.15;0.53;0.536574371259751;0.74;0.0413819864283657
"BPV1";0.1;1.2;0.542;0.539144890938231;0.74;0.0403427748362152
"BPV1";0.1;1.25;0.571;0.540895851526406;0.74;0.0396424619393951
"BPV1";0.1;1.3;0.528;0.54193675592206;0.74;0.0392290486546774
"BPV1";0.1;1.35;0.534;0.542801754108448;0.74;0.0388871481827052
"BPV1";0.1;1.4;0.557;0.543518540172121;0.74;0.0386049640560943
"BPV1";0.1;1.45;0.52;0.544114808199636;0.74;0.0383710083666654
"BPV1";0.1;1.5;0.567;0.544618252277546;0.74;0.0381740273430807
"BPV1";0.1;1.55;0.557;0.545010076757472;0.74;0.0380210701661271
"BPV1";0.1;1.6;0.526;0.545267622193676;0.74;0.037920698966105
"BPV1";0.1;1.65;0.557;0.545412786976676;0.74;0.0378641834721844
"BPV1";0.1;1.7;0.528;0.545467469496991;0.74;0.037842905423904
"BPV1";0.1;1.75;0.553;0.54545356814514;0.74;0.0378483141474575
"BPV1";0.1;1.8;0.542;0.545375554689844;0.74;0.0378786747122858
"BPV1";0.1;1.85;0.534;0.545219860595338;0.74;0.0379393027064994
"BPV1";0.1;1.9;0.54;0.544981323795412;0.74;0.0380322840685899
"BPV1";0.1;1.95;0.54;0.544654782223855;0.74;0.0381597541080095
"BPV1";0.1;2;0.562;0.544235073814456;0.74;0.0383239063244314
"BPV1";0.15;0.05;0.98;0.867939190161409;0.74;0.0163684363791572
