"ind";"experiment";"cond";"model";"performance"
1;1;"BPV1";"2scal";0.73
1;1;"BPV1";"pfirst";0.68
1;1;"BPV1";"rnonc";0.59
1;1;"BPV1";"sev";0.67
1;1;"BPV1";"vfirst";0.7
1;1;"BPV1";"wta";0.7
1;1;"BPV2";"2scal";0.73
1;1;"BPV2";"pfirst";0.69
1;1;"BPV2";"rnonc";0.61
1;1;"BPV2";"sev";0.71
1;1;"BPV2";"vfirst";0.67
1;1;"BPV2";"wta";0.67
1;1;"BVP1";"2scal";0.74
1;1;"BVP1";"pfirst";0.74
1;1;"BVP1";"rnonc";0.61
1;1;"BVP1";"sev";0.74
1;1;"BVP1";"vfirst";0.92
1;1;"BVP1";"wta";0.82
1;1;"BVP2";"2scal";0.75
1;1;"BVP2";"pfirst";0.63
1;1;"BVP2";"rnonc";0.58
1;1;"BVP2";"sev";0.78
1;1;"BVP2";"vfirst";0.89
1;1;"BVP2";"wta";0.82
1;1;"C";"2scal";0.87
1;1;"C";"pfirst";0.75
1;1;"C";"rnonc";0.79
1;1;"C";"sev";0.81
1;1;"C";"vfirst";0.96
1;1;"C";"wta";0.85
1;1;"I";"2scal";0.6
1;1;"I";"pfirst";0.37
1;1;"I";"rnonc";0.44
1;1;"I";"sev";0.62
1;1;"I";"vfirst";0.87
1;1;"I";"wta";0.59
1;2;"BPV1";"2scal";0.78
1;2;"BPV1";"pfirst";0.85
1;2;"BPV1";"rnonc";0.61
1;2;"BPV1";"sev";0.8
1;2;"BPV1";"vfirst";0.83
1;2;"BPV1";"wta";0.7
1;2;"BPV2";"2scal";0.91
1;2;"BPV2";"pfirst";0.81
1;2;"BPV2";"rnonc";0.61
1;2;"BPV2";"sev";0.78
1;2;"BPV2";"vfirst";0.76
1;2;"BPV2";"wta";0.79
1;2;"BVP1";"2scal";0.77
1;2;"BVP1";"pfirst";0.69
1;2;"BVP1";"rnonc";0.61
1;2;"BVP1";"sev";0.81
1;2;"BVP1";"vfirst";0.93
1;2;"BVP1";"wta";0.73
1;2;"BVP2";"2scal";0.79
1;2;"BVP2";"pfirst";0.63
1;2;"BVP2";"rnonc";0.69
1;2;"BVP2";"sev";0.82
1;2;"BVP2";"vfirst";0.95
1;2;"BVP2";"wta";0.77
1;2;"C";"2scal";0.91
1;2;"C";"pfirst";0.89
1;2;"C";"rnonc";0.72
1;2;"C";"sev";0.87
1;2;"C";"vfirst";0.96
1;2;"C";"wta";0.9
1;2;"I";"2scal";0.53
1;2;"I";"pfirst";0.3
1;2;"I";"rnonc";0.56
1;2;"I";"sev";0.5
1;2;"I";"vfirst";0.83
1;2;"I";"wta";0.49
1;3;"PV1";"2scal";0.75
1;3;"PV1";"pfirst";0.73
1;3;"PV1";"rnonc";0.74
1;3;"PV1";"sev";0.78
1;3;"PV1";"vfirst";0.67
1;3;"PV1";"wta";0.68
1;3;"PV2";"2scal";0.72
1;3;"PV2";"pfirst";0.72
1;3;"PV2";"rnonc";0.65
1;3;"PV2";"sev";0.71
1;3;"PV2";"vfirst";0.66
1;3;"PV2";"wta";0.75
1;3;"PV3";"2scal";0.73
1;3;"PV3";"pfirst";0.72
1;3;"PV3";"rnonc";0.58
1;3;"PV3";"sev";0.69
1;3;"PV3";"vfirst";0.72
1;3;"PV3";"wta";0.64
1;3;"PV4";"2scal";0.69
1;3;"PV4";"pfirst";0.75
1;3;"PV4";"rnonc";0.64
1;3;"PV4";"sev";0.62
