"pset";"nrep";"Choice_type";"cond";"experiment";"performance"
1;1;7;"BPV1";1;0.822222222222222
1;2;7;"BPV1";1;0.822222222222222
1;3;7;"BPV1";1;0.722222222222222
1;4;7;"BPV1";1;0.888888888888889
1;5;7;"BPV1";1;0.411111111111111
1;6;7;"BPV1";1;0.7
1;7;7;"BPV1";1;0.8
1;8;7;"BPV1";1;0.744444444444444
1;9;7;"BPV1";1;0.555555555555556
1;10;7;"BPV1";1;0.855555555555556
1;11;7;"BPV1";1;0.733333333333333
1;12;7;"BPV1";1;0.777777777777778
1;13;7;"BPV1";1;0.944444444444444
1;14;7;"BPV1";1;1
1;15;7;"BPV1";1;0.877777777777778
1;16;7;"BPV1";1;0.766666666666667
1;17;7;"BPV1";1;0.855555555555556
1;18;7;"BPV1";1;0.888888888888889
1;19;7;"BPV1";1;0.811111111111111
1;20;7;"BPV1";1;0.9
1;21;7;"BPV1";1;0.877777777777778
1;22;7;"BPV1";1;0.888888888888889
1;23;7;"BPV1";1;0.955555555555556
1;24;7;"BPV1";1;0.955555555555556
1;25;7;"BPV1";1;0.933333333333333
1;26;7;"BPV1";1;0.755555555555556
1;27;7;"BPV1";1;0.833333333333333
1;28;7;"BPV1";1;0.744444444444444
1;29;7;"BPV1";1;0.833333333333333
1;30;7;"BPV1";1;0.866666666666667
1;31;7;"BPV1";1;0.833333333333333
1;32;7;"BPV1";1;0.922222222222222
1;33;7;"BPV1";1;0.688888888888889
1;34;7;"BPV1";1;0.833333333333333
1;35;7;"BPV1";1;0.811111111111111
1;36;7;"BPV1";1;0.855555555555556
1;37;7;"BPV1";1;0.9
1;38;7;"BPV1";1;0.777777777777778
1;39;7;"BPV1";1;0.666666666666667
1;40;7;"BPV1";1;0.944444444444444
1;41;7;"BPV1";1;0.933333333333333
1;42;7;"BPV1";1;0.622222222222222
1;43;7;"BPV1";1;0.911111111111111
1;44;7;"BPV1";1;0.677777777777778
1;45;7;"BPV1";1;0.8
1;46;7;"BPV1";1;0.844444444444444
1;47;7;"BPV1";1;0.733333333333333
1;48;7;"BPV1";1;0.944444444444444
1;49;7;"BPV1";1;0.844444444444444
1;50;7;"BPV1";1;0.877777777777778
1;51;7;"BPV1";1;0.9
1;52;7;"BPV1";1;0.9
1;53;7;"BPV1";1;0.855555555555556
1;54;7;"BPV1";1;0.677777777777778
1;55;7;"BPV1";1;0.677777777777778
1;56;7;"BPV1";1;0.9
1;57;7;"BPV1";1;0.8
1;58;7;"BPV1";1;0.933333333333333
1;59;7;"BPV1";1;0.922222222222222
1;60;7;"BPV1";1;0.833333333333333
1;61;7;"BPV1";1;0.744444444444444
1;62;7;"BPV1";1;0.811111111111111
1;63;7;"BPV1";1;0.677777777777778
1;64;7;"BPV1";1;0.666666666666667
1;65;7;"BPV1";1;0.9
1;66;7;"BPV1";1;0.877777777777778
1;67;7;"BPV1";1;0.888888888888889
1;68;7;"BPV1";1;0.9
1;69;7;"BPV1";1;0.855555555555556
1;70;7;"BPV1";1;0.788888888888889
1;71;7;"BPV1";1;0.911111111111111
1;72;7;"BPV1";1;0.9
1;73;7;"BPV1";1;0.811111111111111
1;74;7;"BPV1";1;0.922222222222222
1;75;7;"BPV1";1;0.544444444444444
1;76;7;"BPV1";1;0.877777777777778
1;77;7;"BPV1";1;0.9
1;78;7;"BPV1";1;0.655555555555556
1;79;7;"BPV1";1;0.777777777777778
1;80;7;"BPV1";1;0.788888888888889
1;81;7;"BPV1";1;0.722222222222222
1;82;7;"BPV1";1;0.9
1;83;7;"BPV1";1;0.788888888888889
1;84;7;"BPV1";1;0.922222222222222
1;85;7;"BPV1";1;0.833333333333333
1;86;7;"BPV1";1;0.111111111111111
1;87;7;"BPV1";1;0.766666666666667
1;88;7;"BPV1";1;0.833333333333333
1;89;7;"BPV1";1;0.922222222222222
1;90;7;"BPV1";1;0.955555555555556
1;91;7;"BPV1";1;0.966666666666667
1;92;7;"BPV1";1;0.933333333333333
1;93;7;"BPV1";1;0.855555555555556
1;94;7;"BPV1";1;0.933333333333333
1;95;7;"BPV1";1;0.722222222222222
1;96;7;"BPV1";1;0.766666666666667
1;97;7;"BPV1";1;0.777777777777778
1;98;7;"BPV1";1;0.855555555555556
1;99;7;"BPV1";1;0.866666666666667
1;100;7;"BPV1";1;0.922222222222222
2;1;7;"BPV2";1;0.866666666666667
2;2;7;"BPV2";1;0.877777777777778
2;3;7;"BPV2";1;0.744444444444444
2;4;7;"BPV2";1;0.911111111111111
2;5;7;"BPV2";1;0.888888888888889
2;6;7;"BPV2";1;0.377777777777778
2;7;7;"BPV2";1;0.866666666666667
2;8;7;"BPV2";1;0.666666666666667
2;9;7;"BPV2";1;0.877777777777778
2;10;7;"BPV2";1;0.7
2;11;7;"BPV2";1;0.855555555555556
2;12;7;"BPV2";1;0.633333333333333
2;13;7;"BPV2";1;0.922222222222222
2;14;7;"BPV2";1;0.766666666666667
2;15;7;"BPV2";1;0.755555555555556
2;16;7;"BPV2";1;0.711111111111111
2;17;7;"BPV2";1;0.866666666666667
2;18;7;"BPV2";1;0.911111111111111
2;19;7;"BPV2";1;0.844444444444444
2;20;7;"BPV2";1;0.977777777777778
2;21;7;"BPV2";1;0.933333333333333
2;22;7;"BPV2";1;0.877777777777778
2;23;7;"BPV2";1;0.888888888888889
2;24;7;"BPV2";1;0.866666666666667
2;25;7;"BPV2";1;0.688888888888889
2;26;7;"BPV2";1;0.811111111111111
2;27;7;"BPV2";1;0.7
2;28;7;"BPV2";1;0.711111111111111
2;29;7;"BPV2";1;0.911111111111111
2;30;7;"BPV2";1;0.833333333333333
2;31;7;"BPV2";1;0.888888888888889
2;32;7;"BPV2";1;0.833333333333333
2;33;7;"BPV2";1;0.944444444444444
2;34;7;"BPV2";1;0.711111111111111
2;35;7;"BPV2";1;0.833333333333333
2;36;7;"BPV2";1;0.8
2;37;7;"BPV2";1;0.922222222222222
2;38;7;"BPV2";1;0.877777777777778
2;39;7;"BPV2";1;0.811111111111111
2;40;7;"BPV2";1;0.822222222222222
2;41;7;"BPV2";1;0.877777777777778
2;42;7;"BPV2";1;0.866666666666667
2;43;7;"BPV2";1;0.777777777777778
2;44;7;"BPV2";1;0.822222222222222
2;45;7;"BPV2";1;0.9
2;46;7;"BPV2";1;0.733333333333333
2;47;7;"BPV2";1;0.933333333333333
2;48;7;"BPV2";1;0.944444444444444
2;49;7;"BPV2";1;0.877777777777778
2;50;7;"BPV2";1;0.922222222222222
2;51;7;"BPV2";1;0.844444444444444
2;52;7;"BPV2";1;0.811111111111111
2;53;7;"BPV2";1;0.944444444444444
2;54;7;"BPV2";1;0.766666666666667
