day;IdLabel;loc;prob;volm;rel;prof;discard;cohort;cond;experiment;rint
-1;m1;1;1;20;1;1;0;1;explore;1;0.0001
-1;m1;2;1;20;1;1;0;1;explore;1;0.0001
-1;m1;3;1;20;1;0;0;1;explore;1;0.0001
-1;m1;4;1;20;1;0;0;1;explore;1;0.0001
-1;m3;1;1;20;1;1;0;1;explore;1;0.0001
-1;m3;2;1;20;1;1;0;1;explore;1;0.0001
-1;m3;3;1;20;1;0;0;1;explore;1;0.0001
-1;m3;4;1;20;1;0;0;1;explore;1;0.0001
-1;m4;1;1;20;1;0;0;1;explore;1;0.0001
-1;m4;2;1;20;1;1;0;1;explore;1;0.0001
-1;m4;3;1;20;1;0;0;1;explore;1;0.0001
-1;m4;4;1;20;1;1;0;1;explore;1;0.0001
-1;m5;1;1;20;1;1;0;1;explore;1;0.0001
-1;m5;2;1;20;1;0;0;1;explore;1;0.0001
-1;m5;3;1;20;1;0;0;1;explore;1;0.0001
-1;m5;4;1;20;1;1;0;1;explore;1;0.0001
-1;m6;1;1;20;1;1;0;1;explore;1;0.0001
-1;m6;2;1;20;1;0;0;1;explore;1;0.0001
-1;m6;3;1;20;1;0;0;1;explore;1;0.0001
-1;m6;4;1;20;1;1;0;1;explore;1;0.0001
-1;m96;1;1;20;1;0;0;1;explore;1;0.0001
-1;m96;2;1;20;1;0;0;1;explore;1;0.0001
-1;m96;3;1;20;1;1;0;1;explore;1;0.0001
-1;m96;4;1;20;1;1;0;1;explore;1;0.0001
-1;m97;1;1;20;1;0;0;1;explore;1;0.0001
-1;m97;2;1;20;1;1;0;1;explore;1;0.0001
-1;m97;3;1;20;1;1;0;1;explore;1;0.0001
-1;m97;4;1;20;1;0;0;1;explore;1;0.0001
-1;m99;1;1;20;1;0;0;1;explore;1;0.0001
-1;m99;2;1;20;1;1;0;1;explore;1;0.0001
-1;m99;3;1;20;1;1;0;1;explore;1;0.0001
-1;m99;4;1;20;1;0;0;1;explore;1;0.0001
0;m1;1;0.3;10;1;1;0;1;training;1;0.0001
0;m1;2;0.3;10;1;1;0;1;training;1;0.0001
0;m1;3;0.3;10;1;0;0;1;training;1;0.0001
0;m1;4;0.3;10;1;0;0;1;training;1;0.0001
0;m3;1;0.3;10;1;1;0;1;training;1;0.0001
0;m3;2;0.3;10;1;0;0;1;training;1;0.0001
0;m3;3;0.3;10;1;1;0;1;training;1;0.0001
0;m3;4;0.3;10;1;0;0;1;training;1;0.0001
0;m4;1;0.3;10;1;0;0;1;training;1;0.0001
0;m4;2;0.3;10;1;1;0;1;training;1;0.0001
